ID;ID_MEDICO;VISITADO
1349;1531;NÃO
1350;1532;NÃO
1351;1533;NÃO
1352;1534;NÃO
1353;1535;NÃO
1354;1536;NÃO
1355;1537;NÃO
1356;1538;NÃO
1357;1539;NÃO
1358;1540;NÃO
1359;1541;NÃO
1360;1542;NÃO
1361;1543;NÃO
1362;1544;NÃO
1363;1545;NÃO
1364;1546;NÃO
1365;1547;NÃO
1366;1548;NÃO
1367;1549;NÃO
1368;1550;NÃO
1369;1551;NÃO
1370;1552;NÃO
1371;1553;NÃO
1372;1554;NÃO
1373;1555;NÃO
1374;1556;NÃO
1375;1557;NÃO
1376;1558;NÃO
1377;1560;NÃO
1378;1561;NÃO
1379;1562;NÃO
1380;1563;NÃO
1381;1564;NÃO
1382;1565;NÃO
1383;1566;NÃO
1384;1567;NÃO
1385;1568;NÃO
1386;1569;NÃO
1387;1570;NÃO
1388;1571;NÃO
1389;1572;NÃO
1390;1573;NÃO
1391;1574;SIM
1392;1575;NÃO
1393;1576;NÃO
1394;1577;NÃO
1395;1578;NÃO
1396;1579;NÃO
1397;1580;NÃO
1398;1581;NÃO
1399;1582;NÃO
1400;1583;SIM
1401;1584;NÃO
1402;1585;NÃO
1403;1586;NÃO
1404;1587;SIM
1405;1588;NÃO
1406;1589;NÃO
1407;1590;NÃO
1408;1591;NÃO
1409;1592;NÃO
1410;1593;NÃO
1411;1594;NÃO
1412;1595;NÃO
1413;1596;NÃO
1414;1597;NÃO
1415;1598;NÃO
1416;1599;NÃO
1417;1601;NÃO
1418;1602;NÃO
1419;1604;NÃO
1420;1605;NÃO
1421;1606;SIM
1422;1607;NÃO
1423;1608;NÃO
1424;1609;SIM
1425;1610;NÃO
1426;1611;NÃO
1427;1612;SIM
1428;1613;SIM
1429;1614;NÃO
1430;1615;SIM
1431;1616;NÃO
1432;1617;SIM
1433;4762;NÃO
1434;1618;SIM
1435;1619;SIM
1436;1620;SIM
1437;1621;SIM
1438;1622;SIM
1439;1623;SIM
1440;1626;NÃO
1441;1627;NÃO
1442;1628;NÃO
1443;1629;SIM
1444;1630;NÃO
1445;1631;NÃO
1446;1632;NÃO
1447;1633;NÃO
1448;1634;NÃO
1449;1635;NÃO
1450;1636;NÃO
